Order_ID,Order_Date,Customer_ID,Gender,Age,Age_Group,Product,Category,Quantity,Unit_Price,Discount,Sales,Profit
1,2024-01-01 00:00:00.000000000,CUST1074,Male,46,46-55,Tablet,Electronics,3,21284,5,60659.4,4925.48
2,2024-01-01 17:32:15.135135135,CUST1029,Male,41,36-45,Speaker,Accessories,4,9822,20,31430.4,7668.45
3,2024-01-02 11:04:30.270270270,CUST1021,Female,19,18-25,Monitor,Electronics,4,14420,0,57680.0,6393.74
4,2024-01-03 04:36:45.405405405,CUST1059,Male,42,36-45,Power Bank,Accessories,3,1882,5,5363.7,318.25
5,2024-01-03 22:09:00.540540540,CUST1017,Male,20,18-25,Headphones,Accessories,3,1646,20,3950.4,553.45
6,2024-01-04 15:41:15.675675675,CUST1001,Female,42,36-45,Keyboard,Accessories,2,2541,0,5082.0,270.33
7,2024-01-05 09:13:30.810810810,CUST1046,Male,45,36-45,Keyboard,Accessories,4,1978,15,6725.2,1002.29
8,2024-01-06 02:45:45.945945945,CUST1005,Male,31,26-35,Headphones,Accessories,4,2585,15,8789.0,987.38
9,2024-01-06 20:18:01.081081081,CUST1033,Female,59,56-60,Monitor,Electronics,5,20990,5,99702.5,20441.66
10,2024-01-07 13:50:16.216216216,CUST1081,Female,53,46-55,Camera,Electronics,4,26016,20,83251.2,10634.13
11,2024-01-08 07:22:31.351351351,CUST1040,Female,41,36-45,Mouse,Accessories,1,1063,15,903.55,143.25
12,2024-01-09 00:54:46.486486486,CUST1007,Male,42,36-45,Laptop,Electronics,1,42027,10,37824.3,3395.43
13,2024-01-09 18:27:01.621621621,CUST1040,Male,52,46-55,Headphones,Accessories,3,6892,5,19642.2,2390.32
14,2024-01-10 11:59:16.756756756,CUST1085,Male,24,18-25,Power Bank,Accessories,4,3904,20,12492.8,2447.6
15,2024-01-11 05:31:31.891891891,CUST1089,Male,52,46-55,Speaker,Accessories,3,9610,10,25947.0,5245.37
16,2024-01-11 23:03:47.027027027,CUST1076,Male,31,26-35,Tablet,Electronics,3,10206,5,29087.1,1602.23
17,2024-01-12 16:36:02.162162162,CUST1093,Male,49,46-55,Headphones,Accessories,1,1563,20,1250.4,189.7
18,2024-01-13 10:08:17.297297297,CUST1012,Male,40,36-45,Mouse,Accessories,5,1978,10,8901.0,806.54
19,2024-01-14 03:40:32.432432432,CUST1043,Female,39,36-45,Tablet,Electronics,2,12693,15,21578.1,4547.25
20,2024-01-14 21:12:47.567567567,CUST1088,Female,47,46-55,Keyboard,Accessories,3,2163,5,6164.55,458.75
21,2024-01-15 14:45:02.702702702,CUST1002,Male,50,46-55,Tablet,Electronics,1,11306,0,11306.0,2414.99
22,2024-01-16 08:17:17.837837837,CUST1043,Female,23,18-25,Tablet,Electronics,3,39320,20,94368.0,17787.16
23,2024-01-17 01:49:32.972972973,CUST1057,Male,32,26-35,Smartwatch,Wearables,1,22147,0,22147.0,1394.78
24,2024-01-17 19:21:48.108108108,CUST1055,Female,29,26-35,Keyboard,Accessories,2,3958,0,7916.0,630.25
25,2024-01-18 12:54:03.243243243,CUST1000,Female,19,18-25,Laptop,Electronics,4,86645,20,277264.0,32998.37
26,2024-01-19 06:26:18.378378378,CUST1055,Male,19,18-25,Headphones,Accessories,4,3777,15,12841.8,849.75
27,2024-01-19 23:58:33.513513513,CUST1010,Male,34,26-35,Speaker,Accessories,5,4431,5,21047.25,3719.17
28,2024-01-20 17:30:48.648648648,CUST1058,Female,26,26-35,Laptop,Electronics,3,84357,20,202456.8,44878.96
29,2024-01-21 11:03:03.783783783,CUST1070,Female,36,36-45,Keyboard,Accessories,3,2034,10,5491.8,657.55
30,2024-01-22 04:35:18.918918918,CUST1056,Male,58,56-60,Keyboard,Accessories,2,3419,0,6838.0,1265.97
31,2024-01-22 22:07:34.054054054,CUST1059,Male,40,36-45,Printer,Electronics,2,22646,15,38498.2,3272.0
32,2024-01-23 15:39:49.189189189,CUST1008,Male,19,18-25,Laptop,Electronics,4,60932,20,194982.4,44168.83
33,2024-01-24 09:12:04.324324324,CUST1074,Male,52,46-55,Printer,Electronics,3,10499,0,31497.0,5619.26
34,2024-01-25 02:44:19.459459459,CUST1092,Female,25,18-25,Laptop,Electronics,4,88354,0,353416.0,64569.23
35,2024-01-25 20:16:34.594594594,CUST1067,Female,35,26-35,Smartphone,Electronics,3,65108,0,195324.0,16638.68
36,2024-01-26 13:48:49.729729729,CUST1032,Male,31,26-35,Laptop,Electronics,4,62399,10,224636.4,40776.58
37,2024-01-27 07:21:04.864864865,CUST1020,Male,39,36-45,Power Bank,Accessories,5,1362,10,6129.0,838.93
38,2024-01-28 00:53:20.000000000,CUST1018,Male,45,36-45,Laptop,Electronics,1,69124,15,58755.4,11427.36
39,2024-01-28 18:25:35.135135135,CUST1092,Female,52,46-55,Keyboard,Accessories,1,516,15,438.6,104.43
40,2024-01-29 11:57:50.270270270,CUST1045,Male,23,18-25,Mouse,Accessories,4,2068,20,6617.6,1559.53
41,2024-01-30 05:30:05.405405405,CUST1084,Male,48,46-55,Mouse,Accessories,4,1292,15,4392.8,478.33
42,2024-01-30 23:02:20.540540540,CUST1053,Female,50,46-55,Tablet,Electronics,3,36641,0,109923.0,14173.28
